experiment,case,method,metric,mean,ci_lower,ci_upper,n_seeds
E2 interpolation,0.5,CardioGB,mmd,0.067760419845581,0.06634947210550302,0.06929072439670556,5
E2 interpolation,0.5,CardioGB,sliced_wasserstein,0.018526791781186998,0.01622752957046026,0.02082542367279524,5
E2 interpolation,0.5,CardioGB,moment_error,0.016424312815070098,0.01600765325129026,0.0168482735753059,5
E2 interpolation,3.0,CardioGB,mmd,0.07136473730206483,0.06279686465859406,0.07996170371770853,5
E2 interpolation,3.0,CardioGB,sliced_wasserstein,0.02282023373991246,0.018519637733697837,0.026577414944767903,5
E2 interpolation,3.0,CardioGB,moment_error,0.019510664232075182,0.016754576563835104,0.02232043743133542,5
E2 interpolation,14.0,CardioGB,mmd,0.19255208671092988,0.11960054337978362,0.2538786768913269,5
E2 interpolation,14.0,CardioGB,sliced_wasserstein,0.06790566146373744,0.043959966301917966,0.08953896611928935,5
E2 interpolation,14.0,CardioGB,moment_error,0.05888615436851972,0.033680434897541925,0.08083493411540979,5
E3 extrapolation,horizon_4_days,calibrated CardioGB,mmd,0.11391286998987193,0.10825945287942881,0.11782756298780436,5
E3 extrapolation,horizon_4_days,calibrated CardioGB,sliced_wasserstein,0.03606950268149372,0.033708452433347656,0.03843055292963978,5
E3 extrapolation,horizon_4_days,calibrated CardioGB,moment_error,0.03467788696289058,0.0330046139657497,0.03594203367829318,5
E3 extrapolation,horizon_4_days,raw CardioGB,mmd,0.22557702958583828,0.20849717855453492,0.23557797670364375,5
E3 extrapolation,horizon_4_days,raw CardioGB,sliced_wasserstein,0.06963986977934834,0.0634200222790241,0.07421828806400294,5
E3 extrapolation,horizon_4_days,raw CardioGB,moment_error,0.07007441446185106,0.06456891819834704,0.07339834421873086,5
E3 extrapolation,horizon_4_days,persistence,mmd,0.0461013801395893,0.0461013801395893,0.0461013801395893,5
E3 extrapolation,horizon_4_days,persistence,sliced_wasserstein,0.0140427580103278,0.012820666469633559,0.015244284830987437,5
E3 extrapolation,horizon_4_days,persistence,moment_error,0.0145371248945593,0.0145371248945593,0.0145371248945593,5
E3 extrapolation,horizon_7_days,calibrated CardioGB,mmd,0.32398239970207215,0.21612637042999266,0.43183842897415153,5
E3 extrapolation,horizon_7_days,calibrated CardioGB,sliced_wasserstein,0.10905871614813803,0.06955217868089673,0.14856525361537928,5
E3 extrapolation,horizon_7_days,calibrated CardioGB,moment_error,0.10603647530078883,0.06909457892179485,0.1424112424254417,5
E3 extrapolation,horizon_7_days,raw CardioGB,mmd,0.524744126200676,0.31363860964775087,0.7358496427536011,5
E3 extrapolation,horizon_7_days,raw CardioGB,sliced_wasserstein,0.22416159212589265,0.1181896388530731,0.33013354539871215,5
E3 extrapolation,horizon_7_days,raw CardioGB,moment_error,0.19996173083782193,0.10837783813476558,0.2915456235408783,5
E3 extrapolation,horizon_7_days,persistence,mmd,0.1186145544052124,0.1186145544052124,0.1186145544052124,5
E3 extrapolation,horizon_7_days,persistence,sliced_wasserstein,0.03779255598783488,0.03384520038962358,0.04173991158604619,5
E3 extrapolation,horizon_7_days,persistence,moment_error,0.0370442047715187,0.0370442047715187,0.0370442047715187,5
E3 extrapolation,horizon_11_days,calibrated CardioGB,mmd,0.09124408364295956,0.0870399311184883,0.09354873448610303,5
E3 extrapolation,horizon_11_days,calibrated CardioGB,sliced_wasserstein,0.02979156449437138,0.02697403356432912,0.033974700421094885,5
