parameter,mean,ci_lower,ci_upper,std,coefficient_of_variation,sign_consistency,n_e1_fits,n_e4_fits
gamma_C,0.0990203183889389,0.0988848842084407,0.0991571801677346,0.0003560108094027,0.0035953308896097,1.0,10,15
beta_C,0.1013960298895835,0.1012027265802025,0.1015858407467603,0.0005059350740073,0.0049896931325444,1.0,10,15
beta_V,0.101004401743412,0.100767908655107,0.1012354365438222,0.0005996556244913,0.005936925660079,1.0,10,15
beta_A,0.4916591429710388,0.49049412509799,0.4928474729657173,0.0030180256374031,0.0061384511618467,1.0,10,15
alpha_I,0.1995369046926498,0.1990402688533067,0.200046590924263,0.0012956631430921,0.0064933509171542,1.0,10,15
alpha_V,0.1962883830070495,0.1957430488616228,0.1968181731253862,0.0013745136269816,0.0070025215243242,1.0,10,15
alpha_A,1.0152642059326171,1.0126201699972153,1.0180703865289686,0.0071262034138581,0.0070190629909108,1.0,10,15
mechanistic_gate_A,0.5017399787902832,0.5004040595889091,0.5031953541338444,0.0036715924052233,0.0073177194571493,1.0,10,15
beta_M,0.049471413642168,0.0493241894990205,0.0496204644069075,0.0003878869905731,0.007840628799871,1.0,10,15
beta_I,0.2003536874055862,0.1997150867730379,0.2009671669304371,0.0016203956277698,0.0080876755938593,1.0,10,15
mechanistic_gate_V,0.4921434509754181,0.4905021677613258,0.4937274952828884,0.0041245286124278,0.008380744687861,1.0,10,15
beta_F,0.1002652594447136,0.0999536297470331,0.1006027078106999,0.0008409456109804,0.0083872082477796,1.0,10,15
residual_scale_M,0.1003069427609443,0.1000008376091718,0.100660076983273,0.000864224608237,0.0086158005064191,1.0,10,15
gamma_V,0.0989113795757293,0.0985813076272607,0.0992863312214613,0.000923478066404,0.0093364188262785,1.0,10,15
gamma_M,0.0974377423524856,0.0970762720480561,0.0977809239327907,0.0009316319286234,0.0095613045430918,1.0,10,15
alpha_C,0.1957792425155639,0.1950439041405916,0.1964874588698149,0.0018993582267838,0.0097015301641739,1.0,10,15
residual_scale_I,0.1017164143919944,0.101332782022655,0.1020957420095801,0.0009893667322571,0.0097267165596729,1.0,10,15
alpha_F,0.2005323016643524,0.1997485609650612,0.2013788190037012,0.0021262803386982,0.0106031812383881,1.0,10,15
mechanistic_gate_M,0.4890648782253265,0.4870006110668182,0.4910314136743545,0.005301803599033,0.0108406958566964,1.0,10,15
residual_scale_C,0.0999485900998115,0.0995168377459049,0.1004064565226435,0.0011665600711952,0.0116716010704132,1.0,10,15
alpha_M,0.1931978154182434,0.1921173170208931,0.1942180020213127,0.0027275285181696,0.0141178020686462,1.0,10,15
mechanistic_gate_C,0.4903889632225036,0.4875820119082927,0.4929903582632541,0.0071433926106458,0.0145667891130835,1.0,10,15
residual_scale_A,0.1011492866277694,0.1005624179020523,0.101772421516478,0.0015531159343862,0.0153546899455824,1.0,10,15
mechanistic_gate_I,0.5045830929279327,0.501449430823326,0.507839468896389,0.0082968452756598,0.0164429712210845,1.0,10,15
residual_scale_V,0.1012790045142173,0.1005180426612496,0.102048122011125,0.0019463745322119,0.0192179469135553,1.0,10,15
mechanistic_gate_F,0.504085943698883,0.4993423660397529,0.5091438920199871,0.0127428631515737,0.0252791479525677,1.0,10,15
residual_scale_F,0.1035972362756729,0.1024182284548878,0.1048839268013835,0.0032504790666582,0.0313761175829895,1.0,10,15
