ablation,n_seeds,mmd_mean,mmd_ci_lower,mmd_ci_upper,sliced_wasserstein_mean,sliced_wasserstein_ci_lower,sliced_wasserstein_ci_upper,moment_error_mean,moment_error_ci_lower,moment_error_ci_upper,prediction_out_of_bounds_fraction_mean,prediction_out_of_bounds_fraction_ci_lower,prediction_out_of_bounds_fraction_ci_upper
no_mechanism,5,0.05330259958282109,0.04207720958760802,0.06225315138165435,0.016324521917184497,0.012439621845260212,0.019789832431290788,0.015224849263073034,0.011490293535669955,0.018278264121285453,0.0,0.0,0.0
shuffled_graph,5,0.05580633295966041,0.04421461184642139,0.06584280026810505,0.01741595431896187,0.013972341668392877,0.020906345506331685,0.014792572344387167,0.011241974152757597,0.017913727462291678,0.0,0.0,0.0
residual_penalty_zero,5,0.05754439298595696,0.04432826382773258,0.06653224102088379,0.017826361900993713,0.013541014439293267,0.021041203157177946,0.015289958223833522,0.011333450831339784,0.018132004687296442,0.0,0.0,0.0
residual_penalty_high,5,0.058923203498125035,0.04462792695100813,0.07326877657324074,0.018282850964793092,0.013576167848493328,0.022989534081092854,0.01561250974357655,0.01139626329698195,0.01998664132385909,0.0,0.0,0.0
full,5,0.06028664026941567,0.04554823722158156,0.07292286157608027,0.018713006570136907,0.014185322275651294,0.02324069086462252,0.015998907137795174,0.01171121600283571,0.019944756837295585,0.0,0.0,0.0
mechanistic_misspecification,5,0.06287118576999216,0.04866222845656527,0.0800931051107389,0.01909454065774164,0.014793869520404474,0.024030825082611545,0.01644285324229188,0.011976269027218154,0.02141755480385779,0.0,0.0,0.0
residual_penalty_low,5,0.0618299070745706,0.0498678701264517,0.07204921474414208,0.019208893751991606,0.015035622952771988,0.023080828320234982,0.016360105577457127,0.012389865148413351,0.019745137762012196,0.0,0.0,0.0
no_constraints,5,0.061004875680165584,0.04691821185073677,0.07154824781630717,0.019905499907742603,0.015331284322642802,0.02339662936116963,0.016758254722558978,0.011954220936500542,0.02018715691353589,0.07272248981729187,0.052052077177106006,0.09516614565301139
no_graph,5,0.07641246398644783,0.057627964924488705,0.08950059350047787,0.0221362659707665,0.016351939963975083,0.02633632438789516,0.01892866389825935,0.013775132024394569,0.022626681599233776,0.0,0.0,0.0
state_definition,5,0.08687386869319842,0.07106760032474989,0.09602072451795847,0.0301359053967254,0.02317382420546237,0.035274875004376635,0.026981473128710427,0.020108683307522066,0.031187747021904133,0.0,0.0,0.0
