input_pathway,residual_target,mean_absolute_attribution,ci_lower,ci_upper,n_biological_units,claim_scope
M,V,0.009481827810316066,0.007505567989628604,0.011568361180295578,23,model-derived association; hypothesis generating
M,I,0.008272317929723464,0.00655301713838421,0.010047131581533184,23,model-derived association; hypothesis generating
M,C,0.007457030337880119,0.006436038812889524,0.008534330840008394,23,model-derived association; hypothesis generating
C,I,0.007383512071396198,0.006065616691529284,0.008802726857246658,23,model-derived association; hypothesis generating
M,F,0.007123563779714033,0.005813196215982889,0.008454732187292717,23,model-derived association; hypothesis generating
F,F,0.006874282228368732,0.004567040600461173,0.009490417028004187,23,model-derived association; hypothesis generating
C,V,0.006406359747998925,0.0049904308343212,0.007946521622111107,23,model-derived association; hypothesis generating
M,M,0.005988373787720263,0.004343100118346043,0.00794586655094781,23,model-derived association; hypothesis generating
V,I,0.005457803622693152,0.004458151916078491,0.006518483232060503,23,model-derived association; hypothesis generating
C,M,0.005200373342479221,0.004204596162453666,0.006238044018128186,23,model-derived association; hypothesis generating
I,V,0.005194023188316801,0.003420230444615534,0.00730484723824261,23,model-derived association; hypothesis generating
C,C,0.005172735425355788,0.004392971104578519,0.005948562011178527,23,model-derived association; hypothesis generating
C,F,0.005109668006165319,0.0043049827811791844,0.005906804691903187,23,model-derived association; hypothesis generating
F,M,0.005039601936668201,0.0036204391355659,0.0066591219565466245,23,model-derived association; hypothesis generating
F,I,0.004979879916356609,0.003482832413308699,0.006760969435578017,23,model-derived association; hypothesis generating
M,A,0.004974466900788384,0.0043023344911729145,0.00566776584288844,23,model-derived association; hypothesis generating
I,M,0.004962560854244976,0.0037976468069557934,0.006166674996915526,23,model-derived association; hypothesis generating
I,C,0.004925066369176798,0.003722751219739804,0.006297860272136832,23,model-derived association; hypothesis generating
F,V,0.004644581245780005,0.0030333478104278572,0.0066457260183884976,23,model-derived association; hypothesis generating
F,C,0.004484253724903597,0.002867973582886678,0.00656103671845369,23,model-derived association; hypothesis generating
