transition,t0,t1,mmd,moment_error,sliced_wasserstein,mi_mean,mi_median,model,seed,ablation,prediction_finite_fraction,prediction_out_of_bounds_fraction,numerically_stable,prediction_diagnostics_origin,prediction_min,prediction_max
0_to_0.25,0.0,0.25,0.0646185576915741,0.0161763187497854,0.0153888911008834,0.2533249258995056,0.2466295510530471,cardiogb,20260825,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
0.25_to_0.5,0.25,0.5,0.0321142971515655,0.0090364497154951,0.0093022976070642,0.4016417264938354,0.3982329070568084,cardiogb,20260825,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
0.5_to_1,0.5,1.0,0.0155237615108489,0.0042250300757586,0.0048431013710796,0.4614935517311096,0.4567015767097473,cardiogb,20260825,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
1_to_3,1.0,3.0,0.0419936776161193,0.0112137645483016,0.0130540877580642,0.4148288071155548,0.4023963510990143,cardiogb,20260825,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
3_to_7,3.0,7.0,0.0788807570934295,0.0222890209406614,0.0194557178765535,0.5182176828384399,0.5078749060630798,cardiogb,20260825,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
7_to_14,7.0,14.0,0.1296310126781463,0.0339838452637195,0.0377213582396507,0.5828680992126465,0.5811389088630676,cardiogb,20260825,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
14_to_28,14.0,28.0,0.0309430062770843,0.0031168558634817,0.0103465477004647,0.5092487335205078,0.4997395873069763,cardiogb,20260825,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
0_to_0.25,0.0,0.25,0.1194024682044982,0.0324410125613212,0.0343424752354621,0.2708745002746582,0.2636153399944305,cardiogb,20260826,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
0.25_to_0.5,0.25,0.5,0.048665165901184,0.0149492211639881,0.0153380632400512,0.4331578314304352,0.4313656091690063,cardiogb,20260826,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
0.5_to_1,0.5,1.0,0.0320974588394165,0.0098083857446908,0.0114542935043573,0.5155922174453735,0.5159999132156372,cardiogb,20260826,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
1_to_3,1.0,3.0,0.0337762534618377,0.0089218309149146,0.0104873850941658,0.4696432650089264,0.4569712579250335,cardiogb,20260826,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
3_to_7,3.0,7.0,0.0979922115802764,0.0277496054768562,0.031805895268917,0.522230863571167,0.5098368525505066,cardiogb,20260826,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
7_to_14,7.0,14.0,0.1879133284091949,0.0540950372815132,0.060380108654499,0.5044726133346558,0.4971729516983032,cardiogb,20260826,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
14_to_28,14.0,28.0,0.0373580753803253,0.0037153197918087,0.009494200348854,0.5213956832885742,0.5132980346679688,cardiogb,20260826,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
0_to_0.25,0.0,0.25,0.1160319745540618,0.0313671678304672,0.0398451648652553,0.3194071650505066,0.3097185790538788,cardiogb,20260827,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
0.25_to_0.5,0.25,0.5,0.0726866424083709,0.0230471231043338,0.0287348572164773,0.4868844747543335,0.4845138192176819,cardiogb,20260827,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
0.5_to_1,0.5,1.0,0.0214100182056427,0.0060510546900331,0.0057486635632812,0.5537121295928955,0.5553451776504517,cardiogb,20260827,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
1_to_3,1.0,3.0,0.1326441466808319,0.0441916622221469,0.0416710935533046,0.4203066229820251,0.4052305817604065,cardiogb,20260827,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
3_to_7,3.0,7.0,0.0196767747402191,0.0040659848600625,0.0073112240061163,0.5646295547485352,0.5636327266693115,cardiogb,20260827,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
7_to_14,7.0,14.0,0.0197587013244628,0.0016187201254069,0.0045224791392683,0.7540524005889893,0.7681069374084473,cardiogb,20260827,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
14_to_28,14.0,28.0,0.1269884407520294,0.03197031468153,0.0406957156956195,0.6623856425285339,0.6481760144233704,cardiogb,20260827,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
0_to_0.25,0.0,0.25,0.0665614008903503,0.0166776683181524,0.0241866409778594,0.2737162709236145,0.2655154764652252,cardiogb,20260828,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
0.25_to_0.5,0.25,0.5,0.0332155227661132,0.009329879656434,0.0092847403138875,0.4336611330509186,0.4309372901916504,cardiogb,20260828,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
0.5_to_1,0.5,1.0,0.0149377882480621,0.0037919520400464,0.005119876936078,0.506647527217865,0.5024272203445435,cardiogb,20260828,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
1_to_3,1.0,3.0,0.0435264706611633,0.0120772263035178,0.0133180087432265,0.4979475736618042,0.4845682382583618,cardiogb,20260828,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
3_to_7,3.0,7.0,0.1492800414562225,0.04493373259902,0.0493974313139915,0.6184528470039368,0.616976261138916,cardiogb,20260828,full,1.0,0.0,True,guaranteed_by_projected_integrator,,
