parameter,mean,ci_lower,ci_upper,std,coefficient_of_variation,sign_consistency,n_members,n_e1_fits,n_e4_fits
alpha_A,1.0152642059326171,1.0126201699972153,1.0180703865289686,0.007126203413858148,0.007019062990910873,1.0,25,10,15
alpha_C,0.19577924251556397,0.1950439041405916,0.1964874588698149,0.001899358226783873,0.00970153016417396,1.0,25,10,15
alpha_F,0.20053230166435243,0.1997485609650612,0.20137881900370122,0.002126280338698262,0.010603181238388187,1.0,25,10,15
alpha_I,0.19953690469264984,0.19904026885330678,0.200046590924263,0.001295663143092128,0.0064933509171542,1.0,25,10,15
alpha_M,0.1931978154182434,0.1921173170208931,0.19421800202131273,0.002727528518169609,0.01411780206864623,1.0,25,10,15
alpha_V,0.19628838300704957,0.1957430488616228,0.19681817312538624,0.0013745136269816623,0.007002521524324227,1.0,25,10,15
beta_A,0.4916591429710388,0.49049412509799006,0.4928474729657173,0.0030180256374031356,0.00613845116184672,1.0,25,10,15
beta_C,0.10139602988958359,0.10120272658020257,0.10158584074676036,0.000505935074007332,0.004989693132544499,1.0,25,10,15
beta_F,0.1002652594447136,0.09995362974703312,0.10060270781069994,0.0008409456109804699,0.008387208247779667,1.0,25,10,15
beta_I,0.20035368740558623,0.1997150867730379,0.2009671669304371,0.0016203956277698764,0.008087675593859306,1.0,25,10,15
beta_M,0.04947141364216805,0.04932418949902058,0.04962046440690756,0.0003878869905731174,0.007840628799871071,1.0,25,10,15
beta_V,0.10100440174341202,0.10076790865510703,0.10123543654382228,0.0005996556244913995,0.005936925660079085,1.0,25,10,15
gamma_C,0.0990203183889389,0.09888488420844078,0.09915718016773463,0.0003560108094027459,0.0035953308896097655,1.0,25,10,15
gamma_M,0.09743774235248566,0.09707627204805613,0.09778092393279075,0.0009316319286234326,0.009561304543091833,1.0,25,10,15
gamma_V,0.09891137957572937,0.0985813076272607,0.0992863312214613,0.0009234780664040279,0.009336418826278597,1.0,25,10,15
mechanistic_gate_A,0.5017399787902832,0.5004040595889091,0.5031953541338444,0.0036715924052233345,0.007317719457149304,1.0,25,10,15
mechanistic_gate_C,0.49038896322250364,0.48758201190829276,0.49299035826325416,0.0071433926106458925,0.014566789113083544,1.0,25,10,15
mechanistic_gate_F,0.504085943698883,0.49934236603975296,0.5091438920199871,0.012742863151573778,0.025279147952567704,1.0,25,10,15
mechanistic_gate_I,0.5045830929279327,0.501449430823326,0.507839468896389,0.008296845275659827,0.016442971221084547,1.0,25,10,15
mechanistic_gate_M,0.4890648782253265,0.48700061106681825,0.49103141367435454,0.0053018035990330305,0.010840695856696407,1.0,25,10,15
mechanistic_gate_V,0.4921434509754181,0.4905021677613258,0.4937274952828884,0.004124528612427862,0.008380744687861093,1.0,25,10,15
residual_scale_A,0.10114928662776947,0.10056241790205239,0.10177242151647806,0.0015531159343862445,0.015354689945582404,1.0,25,10,15
residual_scale_C,0.09994859009981155,0.09951683774590492,0.10040645652264357,0.0011665600711952566,0.011671601070413259,1.0,25,10,15
residual_scale_F,0.10359723627567291,0.10241822845488786,0.1048839268013835,0.0032504790666582615,0.03137611758298953,1.0,25,10,15
residual_scale_I,0.10171641439199447,0.10133278202265501,0.10209574200958013,0.0009893667322571696,0.00972671655967296,1.0,25,10,15
residual_scale_M,0.10030694276094437,0.10000083760917186,0.10066007698327303,0.0008642246082370975,0.008615800506419113,1.0,25,10,15
residual_scale_V,0.10127900451421738,0.10051804266124964,0.10204812201112508,0.0019463745322119605,0.01921794691355533,1.0,25,10,15
