pathway,group_1,group_2,contrast,n_group_1,n_group_2,median_group_1,median_group_2,median_difference_group_1_minus_group_2,median_difference_ci_lower,median_difference_ci_upper,cliffs_delta_group_1_minus_group_2,cluster_robust_mean_difference_group_1_minus_group_2,cluster_robust_standard_error,cluster_robust_z,p_value,mann_whitney_u_descriptive,mann_whitney_p_value_descriptive,biological_unit,p_adjust_bh_global,p_adjust_bh_within_pathway
activation,fibrotic,ischemic,fibrotic vs ischemic,5,7,0.5052924156188965,0.5539426803588867,-0.048650264739990234,-0.1303977370262146,0.010274648666381836,-0.7142857142857143,-0.04108429636274069,0.026954508139421147,-1.5242087204943144,0.12745658030502663,5.0,0.04797979797979798,patient cluster,0.22942184454904796,0.15068088016584122
activation,fibrotic,myogenic,fibrotic vs myogenic,5,11,0.5052924156188965,0.5676482915878296,-0.062355875968933105,-0.1517554521560669,-0.022195816040039062,-0.8181818181818182,-0.07224092375148417,0.023467020928768123,-3.0784019825424163,0.00208113979082076,5.0,0.0086996336996337,patient cluster,0.007492103246954736,0.00624341937246228
activation,ischemic,myogenic,ischemic vs myogenic,7,11,0.5539426803588867,0.5676482915878296,-0.013705611228942871,-0.0839250385761261,0.020534396171569824,-0.35064935064935066,-0.031156627388743474,0.021679746294152986,-1.4371306271764996,0.15068088016584122,25.0,0.24629210658622425,patient cluster,0.24346738223398515,0.15068088016584122
cardiomyocyte_regeneration,fibrotic,ischemic,fibrotic vs ischemic,5,7,0.4475862383842468,0.4159330725669861,0.03165316581726074,-0.11184823513031006,0.20425960421562195,0.3142857142857143,0.05361723303794852,0.0570140770208509,0.9404209598682075,0.3470016751550383,23.0,0.4318181818181819,patient cluster,0.3903768845494181,0.3470016751550384
cardiomyocyte_regeneration,fibrotic,myogenic,fibrotic vs myogenic,5,11,0.4475862383842468,0.5391940474510193,-0.09160780906677246,-0.23510921001434326,0.035804688930511475,-0.5272727272727272,-0.08253010890700596,0.048860667164293235,-1.6890909129320677,0.09120200900243164,13.0,0.11492673992673993,patient cluster,0.18240401800486328,0.13680301350364746
cardiomyocyte_regeneration,ischemic,myogenic,ischemic vs myogenic,7,11,0.4159330725669861,0.5391940474510193,-0.1232609748840332,-0.2265019714832306,-0.041145145893096924,-0.8441558441558441,-0.13614734194495448,0.03333896665935465,-4.083730108856047,4.4318500921150925e-05,6.0,0.0018853695324283558,patient cluster,0.00026591100552690556,0.00013295550276345278
fibroblast_ecm,fibrotic,ischemic,fibrotic vs ischemic,5,7,0.3120467960834503,0.3528233766555786,-0.040776580572128296,-0.12738238275051117,0.029663145542144775,-0.6571428571428571,-0.04622908788067953,0.024996596087759875,-1.849415325125672,0.06439786422029327,6.0,0.07323232323232323,patient cluster,0.14489519449565985,0.09659679633043991
fibroblast_ecm,fibrotic,myogenic,fibrotic vs myogenic,5,11,0.3120467960834503,0.26703840494155884,0.04500839114189148,-0.041597411036491394,0.07713885605335236,0.41818181818181815,0.02398593723773962,0.022463331443173733,1.067781833625955,0.28561893445943654,39.0,0.22115384615384617,patient cluster,0.36234545909778737,0.28561893445943654
fibroblast_ecm,ischemic,myogenic,ischemic vs myogenic,7,11,0.3528233766555786,0.26703840494155884,0.08578497171401978,0.02708020806312561,0.10440146923065186,0.8961038961038961,0.07021502511841915,0.01601493957096396,4.384345305037752,1.1633511704543545e-05,73.0,0.0007541478129713423,patient cluster,0.0001047016053408919,3.4900535113630633e-05
inflammation,fibrotic,ischemic,fibrotic vs ischemic,5,7,0.2914690375328064,0.37551093101501465,-0.08404189348220825,-0.17149697244167328,0.023958295583724976,-0.6571428571428571,-0.07982185057231356,0.03377367411029163,-2.363434025911619,0.018106450207058117,6.0,0.07323232323232323,patient cluster,0.046559443389578015,0.027159675310587175
inflammation,fibrotic,myogenic,fibrotic vs myogenic,5,11,0.2914690375328064,0.3011553883552551,-0.00968635082244873,-0.0794718861579895,0.0594826340675354,0.09090909090909091,0.003040218895131952,0.02304424052299642,0.13192966338370066,0.8950399257090046,30.0,0.8269230769230771,patient cluster,0.8950399257090046,0.8950399257090046
inflammation,ischemic,myogenic,ischemic vs myogenic,7,11,0.37551093101501465,0.3011553883552551,0.07435554265975952,0.012216895818710327,0.1540217399597168,0.8961038961038961,0.08286206946744551,0.02596867225170745,3.1908473665609645,0.0014185620026281884,73.0,0.0007541478129713423,patient cluster,0.006383529011826847,0.004255686007884565
mature_myocardium,fibrotic,ischemic,fibrotic vs ischemic,5,7,0.3217315673828125,0.2459823042154312,0.07574926316738129,-0.08846870064735413,0.36916761100292206,0.3142857142857143,0.11509056006159102,0.08236408074834045,1.3973392165116827,0.16231158815599012,23.0,0.4318181818181819,patient cluster,0.24346738223398515,0.24346738223398517
