protocol,case,transition,metric,estimate,ci_lower,ci_upper,n_seeds,resampling_unit
E3,3.0,3_to_14,mmd,0.5283665001392365,0.46469520926475527,0.565967345237732,5,initialization seed
E3,3.0,3_to_14,moment_error,0.14099106639623638,0.12397459298372264,0.15081548690795893,5,initialization seed
E3,3.0,3_to_14,sliced_wasserstein,0.1401017919182777,0.10890854448080059,0.16176027059555048,5,initialization seed
E3,3.0,3_to_28,mmd,0.8332951307296753,0.7494319677352905,0.8797852993011475,5,initialization seed
E3,3.0,3_to_28,moment_error,0.22763994038105012,0.21984774768352508,0.2319573104381561,5,initialization seed
E3,3.0,3_to_28,sliced_wasserstein,0.2603446453809738,0.22900443673133847,0.2916848540306091,5,initialization seed
E3,3.0,3_to_7,mmd,0.22557703554630276,0.20869695842266084,0.23557798862457272,5,initialization seed
E3,3.0,3_to_7,moment_error,0.070074413716793,0.06456891596317285,0.07339834421873086,5,initialization seed
E3,3.0,3_to_7,sliced_wasserstein,0.06560840755701061,0.05997518002986903,0.0748627640306949,5,initialization seed
E3,7.0,7_to_14,mmd,0.5247441440820694,0.31363863348960874,0.73584965467453,5,initialization seed
E3,7.0,7_to_14,moment_error,0.19996173083782193,0.10837783813476558,0.2915456235408783,5,initialization seed
E3,7.0,7_to_14,sliced_wasserstein,0.205549181997776,0.1233561128377914,0.2877422511577606,5,initialization seed
E3,7.0,7_to_28,mmd,0.6870818436145782,0.5080615878105164,0.8661020994186401,5,initialization seed
E3,7.0,7_to_28,moment_error,0.20640123635530466,0.14810486882925025,0.26215531826019284,5,initialization seed
E3,7.0,7_to_28,sliced_wasserstein,0.215368203818798,0.14164428710937496,0.28909212052822114,5,initialization seed
E3,14.0,14_to_28,mmd,0.6772210001945496,0.6723713994026184,0.6813605070114136,5,initialization seed
E3,14.0,14_to_28,moment_error,0.12580766677856442,0.12554693222045896,0.12606840133666986,5,initialization seed
E3,14.0,14_to_28,sliced_wasserstein,0.16232402622699732,0.15365204811096184,0.17070312201976773,5,initialization seed
