noise_std,metric,estimate,ci_lower,ci_upper,confidence,n_seeds,resampling_unit
0.0,parameter_rmse,0.0016221712926566836,0.00017671399616978766,0.004116966086763999,0.95,5,simulation seed
0.0,parameter_mae,0.001110127568244934,9.925628701845805e-05,0.0029314650595188138,0.95,5,simulation seed
0.0,parameter_correlation,0.9999461477340905,0.9998428821127435,0.9999997189750018,0.95,5,simulation seed
0.0,relative_error,0.007948581611632347,0.0007400456519640561,0.020355874608328488,0.95,5,simulation seed
0.01,parameter_rmse,0.009446057112518861,0.008077727219226487,0.011251594392769276,0.95,5,simulation seed
0.01,parameter_mae,0.007482733875513077,0.006338676611582437,0.009270854145288467,0.95,5,simulation seed
0.01,parameter_correlation,0.9993771432628291,0.999186573802594,0.9995326852100554,0.95,5,simulation seed
0.01,relative_error,0.056100482760437866,0.04639000057976376,0.07197298293487603,0.95,5,simulation seed
0.05,parameter_rmse,0.135414446224856,0.12357691665516994,0.1478038086598464,0.95,5,simulation seed
0.05,parameter_mae,0.1071090915799141,0.09777291660507519,0.116445266554753,0.95,5,simulation seed
0.05,parameter_correlation,0.9098027712967294,0.890716077545196,0.9266676789425474,0.95,5,simulation seed
0.05,relative_error,0.8006525418634023,0.729035128355629,0.8708891175674014,0.95,5,simulation seed
0.1,parameter_rmse,0.6233841658233706,0.5646250162430025,0.6913998361912392,0.95,5,simulation seed
0.1,parameter_mae,0.4818153703274827,0.4338895340884726,0.5395881164073943,0.95,5,simulation seed
0.1,parameter_correlation,0.1905866194460859,0.14045064691386303,0.2378800013359373,0.95,5,simulation seed
0.1,relative_error,3.755828307937532,3.4247693162473687,4.1983094711051026,0.95,5,simulation seed
