noise_std,metric,estimate,ci_lower,ci_upper,confidence,n_seeds,resampling_unit
0.0,correlation,0.9495097041130066,0.938700258731842,0.9573476672172546,0.95,5,simulation seed
0.0,rmse,0.0009978204499930144,0.0008758428739383817,0.0011570406146347522,0.95,5,simulation seed
0.0,regression_slope,0.8293745926992514,0.7709363337694222,0.8649703065367623,0.95,5,simulation seed
0.0,regression_r2,0.9016942244980612,0.8815313701623246,0.9165206035290812,0.95,5,simulation seed
0.0,fibroblast_perturbation_mean_response,0.00240551526658237,0.002302906569093466,0.0025369531009346246,0.95,5,simulation seed
0.01,correlation,0.9418280959129334,0.9303805589675903,0.9506336688995362,0.95,5,simulation seed
0.01,rmse,0.0010432829149067402,0.0009225113899447024,0.001200690132100135,0.95,5,simulation seed
0.01,regression_slope,0.818522913897635,0.7605927638154417,0.854919450683307,0.95,5,simulation seed
0.01,regression_r2,0.887184460485362,0.8647407731235189,0.9032073975591774,0.95,5,simulation seed
0.01,fibroblast_perturbation_mean_response,0.0023606566712260245,0.0022572244983166457,0.002499241940677166,0.95,5,simulation seed
0.05,correlation,0.8205772995948791,0.8063228726387024,0.8369721889495849,0.95,5,simulation seed
0.05,rmse,0.0015696648741140961,0.0014734278665855527,0.0016687014838680625,0.95,5,simulation seed
0.05,regression_slope,0.6486425044817945,0.6100830798399905,0.6820095629699947,0.95,5,simulation seed
0.05,regression_r2,0.6736589997077378,0.6502098185526515,0.7006173914425556,0.95,5,simulation seed
0.05,fibroblast_perturbation_mean_response,0.0017862918553873896,0.0016642735805362462,0.0018976230639964342,0.95,5,simulation seed
0.1,correlation,0.6448580622673035,0.6259734153747558,0.6679580807685852,0.95,5,simulation seed
0.1,rmse,0.002053104736842215,0.0019487408921122552,0.002157468581572175,0.95,5,simulation seed
0.1,regression_slope,0.4170829446759684,0.3935376940733801,0.4449984259432201,0.95,5,simulation seed
0.1,regression_r2,0.41642758889972475,0.39194760291568,0.4429654421027761,0.95,5,simulation seed
0.1,fibroblast_perturbation_mean_response,0.0010651937453076243,0.000939623941667378,0.0011854534968733788,0.95,5,simulation seed
