patient,patient_group,cell_type_original,activation,cardiomyocyte_regeneration,fibroblast_ecm,inflammation,mature_myocardium,vascularisation
P1,myogenic,Cardiomyocyte,0.5608444,0.6163322,0.21416868,0.23088698,0.66842,0.23344211
P1,myogenic,Endothelial,0.49262726,0.342161,0.2243834,0.3118471,0.17737447,0.5987634
P1,myogenic,Fibroblast,0.5839887,0.39460257,0.53121626,0.33218604,0.18419088,0.35168704
P1,myogenic,Lymphoid,0.385753,0.28382874,0.20167388,0.32828006,0.14774323,0.26588845
P1,myogenic,Myeloid,0.4079674,0.32804734,0.21613355,0.6206732,0.21490636,0.40236717
P1,myogenic,Neuronal,0.41447273,0.2867169,0.32667503,0.282719,0.17034768,0.27175465
P1,myogenic,Pericyte,0.45263115,0.4141295,0.31873995,0.28105012,0.17273086,0.36371574
P1,myogenic,vSMCs,0.4734101,0.47029856,0.30355647,0.30213788,0.23490939,0.4246411
P10,ischemic,Cardiomyocyte,0.6376281,0.7252295,0.2180998,0.24569419,0.74371,0.22965614
P10,ischemic,Endothelial,0.55206746,0.42096734,0.25935975,0.3800581,0.2053194,0.71942854
P10,ischemic,Fibroblast,0.7154614,0.42019227,0.73585784,0.41557524,0.22300373,0.42716888
P10,ischemic,Lymphoid,0.37328362,0.3703137,0.27761397,0.3383035,0.15982264,0.34082025
P10,ischemic,Myeloid,0.48992738,0.31249294,0.25084463,0.685581,0.21512596,0.41830602
P10,ischemic,Neuronal,0.49223846,0.33853063,0.37652808,0.34263352,0.18410048,0.25846252
P10,ischemic,Pericyte,0.6015558,0.42535263,0.4030161,0.38070658,0.21920447,0.4168827
P10,ischemic,vSMCs,0.2998819,0.4331516,0.2259965,0.15497309,0.18897568,0.45168653
P11,myogenic,Cardiomyocyte,0.6177659,0.7361898,0.19536747,0.23047554,0.7395199,0.24797973
P11,myogenic,Endothelial,0.47837222,0.39262378,0.18488885,0.36599284,0.20837727,0.66728896
P11,myogenic,Fibroblast,0.6091117,0.40881243,0.66498214,0.34791133,0.18855996,0.3862275
P11,myogenic,Lymphoid,0.33647487,0.24880031,0.21400486,0.2597018,0.12670167,0.29687294
P11,myogenic,Myeloid,0.4642024,0.33218592,0.22004353,0.61639553,0.23471291,0.3764595
P11,myogenic,Neuronal,0.43917593,0.21398742,0.35384333,0.1604507,0.1608472,0.11543181
P11,myogenic,Pericyte,0.48615637,0.46151367,0.3514786,0.2924224,0.19873172,0.37868795
P11,myogenic,vSMCs,0.6592211,0.4628223,0.38799798,0.18900526,0.2539919,0.46194413
P12,myogenic,Cardiomyocyte,0.5912476,0.6846618,0.21514376,0.21527433,0.7744191,0.19873258
P12,myogenic,Endothelial,0.5593938,0.37174147,0.1851194,0.3747305,0.18188687,0.78355294
P12,myogenic,Fibroblast,0.67795825,0.41986382,0.733475,0.34077454,0.19970058,0.36966336
P12,myogenic,Lymphoid,0.45843616,0.27871346,0.23730958,0.29257947,0.118004605,0.27038273
P12,myogenic,Myeloid,0.4781199,0.3265208,0.19379796,0.7663145,0.22032517,0.3619887
P12,myogenic,Neuronal,0.57011193,0.33439794,0.34021124,0.18361606,0.14951059,0.25243232
P12,myogenic,Pericyte,0.46552527,0.46004882,0.34170276,0.27409568,0.20028333,0.32690623
P12,myogenic,vSMCs,0.47786278,0.44522482,0.28454965,0.29760602,0.18711315,0.41814092
P13,ischemic,Cardiomyocyte,0.57403433,0.6724358,0.21723323,0.2142906,0.5149123,0.22065052
P13,ischemic,Endothelial,0.56639796,0.36137787,0.25211456,0.34688437,0.19133747,0.7656411
P13,ischemic,Fibroblast,0.59822565,0.39781654,0.66440135,0.34274444,0.19682303,0.39843273
P13,ischemic,Lymphoid,0.43181315,0.35322613,0.2372937,0.2617025,0.1763456,0.25653824
P13,ischemic,Myeloid,0.5210819,0.32998323,0.2391616,0.6500414,0.22939956,0.3824903
P13,ischemic,Neuronal,0.5891778,0.3907002,0.47131714,0.25676426,0.19095269,0.2605379
P13,ischemic,Pericyte,0.53247774,0.42224982,0.38181284,0.29818952,0.20685644,0.3915434
P13,ischemic,vSMCs,0.65725124,0.47048172,0.3501013,0.33903667,0.23213585,0.46644908
P14,fibrotic,Cardiomyocyte,0.5643651,0.73478925,0.19606744,0.20606184,0.8061641,0.2044452
P14,fibrotic,Endothelial,0.49805012,0.3630659,0.1824139,0.34644306,0.1909348,0.73428726
P14,fibrotic,Fibroblast,0.54446393,0.37066403,0.6439481,0.31459793,0.18312635,0.35996646
P14,fibrotic,Lymphoid,0.43695533,0.17931248,0.22056074,0.26970643,0.16885604,0.24954571
P14,fibrotic,Myeloid,0.42063767,0.30164194,0.19449273,0.66417074,0.23862593,0.38773113
P14,fibrotic,Neuronal,0.43710014,0.38890168,0.3404319,0.27354154,0.17112097,0.23172615
P14,fibrotic,Pericyte,0.4825936,0.4428937,0.38542333,0.3050092,0.19084561,0.3782433
P14,fibrotic,vSMCs,0.5265497,0.49052972,0.3396742,0.2802828,0.24775468,0.40867648
