parameter,target_state,mean_absolute_local_sensitivity,ci_lower,ci_upper,mean_signed_local_sensitivity,n_biological_units,sensitivity_definition
alpha_A,A,0.11643300219840028,0.05648310198437144,0.18554080330189748,0.11643300219840028,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_A,C,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_A,F,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_A,I,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_A,M,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_A,V,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_C,A,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_C,C,0.13146797072534752,0.1039037235356712,0.1590305364806606,0.13146797072534752,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_C,F,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_C,I,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_C,M,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_C,V,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_F,A,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_F,C,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_F,F,0.1345858040596426,0.10669581328746455,0.16253718306167064,0.1345858040596426,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_F,I,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_F,M,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_F,V,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_I,A,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_I,C,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_I,F,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_I,I,0.12462611524233935,0.10368157289256524,0.14705289779567904,0.12462611524233935,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_I,M,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_I,V,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_M,A,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_M,C,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_M,F,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_M,I,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_M,M,0.10356819382666246,0.09261949615013124,0.1162178266454704,0.10356819382666246,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_M,V,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_V,A,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_V,C,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_V,F,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_V,I,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_V,M,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
alpha_V,V,0.2202349158725075,0.20119383036672844,0.2394981335111321,0.2202349158725075,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_A,A,0.12450227502079807,0.10367664255505508,0.1476123403075684,-0.12450227502079807,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_A,C,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_A,F,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_A,I,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_A,M,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_A,V,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_C,A,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_C,C,0.2204410274148635,0.2016055313264276,0.24020462783215482,-0.2204410274148635,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_C,F,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_C,I,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_C,M,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_C,V,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_F,A,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_F,C,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_F,F,0.10222978657217578,0.07773404169563294,0.12911310714949598,-0.10222978657217578,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_F,I,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_F,M,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_F,V,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_I,A,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_I,C,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_I,F,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_I,I,0.13365826558530922,0.10570187382193355,0.16085850207909494,-0.13365826558530922,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_I,M,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_I,V,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_M,A,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_M,C,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_M,F,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_M,I,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_M,M,0.24448667572537436,0.23084213368430748,0.2580460991849062,0.24448667572537436,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_M,V,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_V,A,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_V,C,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_V,F,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_V,I,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
beta_V,M,0.0,0.0,0.0,0.0,23,partial derivative of gated mechanistic vector field with respect to constrained rate
