family,metric,reference,comparator,mean_difference_reference_minus_comparator,median_difference_reference_minus_comparator,paired_standardized_effect_dz,reference_win_fraction_lower_error,ci_lower,ci_upper,p_value,n_units,unit,p_adjust_bh_within_family
E1 model comparisons,mmd,cardiogb,graph_neural_ode,0.006070779051099503,0.007161559803145267,0.8330344287816199,0.3,0.0014592928545815512,0.010049596418227471,0.0380961903809619,10,seed,0.04571542845715428
E1 model comparisons,mmd,cardiogb,mechanistic_ode,-0.10845756701060708,-0.10526686268193383,-12.372083198699448,1.0,-0.11375538736581806,-0.10355019605585508,0.0018998100189981002,10,seed,0.004559544045595441
E1 model comparisons,mmd,cardiogb,neural_ode,-0.037863942129271376,-0.028910157935959975,-1.214207224074708,0.9,-0.056203473976680206,-0.01971959994307588,0.0040995900409959,10,seed,0.005466120054661201
E1 model comparisons,mmd,cardiogb,persistence,-0.019302422233990268,-0.018029215080397485,-2.154101155687827,1.0,-0.024624394518988492,-0.01415962224560125,0.0018998100189981002,10,seed,0.004559544045595441
E1 model comparisons,moment_error,cardiogb,graph_neural_ode,0.0007173248732994748,0.0013747553540659641,0.3365935972642701,0.4,-0.0006248608493478928,0.0018796205047069028,0.29547045295470453,10,seed,0.32233140322331405
E1 model comparisons,moment_error,cardiogb,mechanistic_ode,-0.043044796496230574,-0.04542941235870655,-7.376844322805737,1.0,-0.046377284612722836,-0.03958539897509452,0.0018998100189981002,10,seed,0.004559544045595441
E1 model comparisons,moment_error,cardiogb,neural_ode,-0.0175348073925956,-0.01024742048632885,-1.0009293630815987,0.9,-0.028250109585725495,-0.007850013191013458,0.0040995900409959,10,seed,0.005466120054661201
E1 model comparisons,moment_error,cardiogb,persistence,-0.007410197162867655,-0.007251260037134796,-2.6660872761104777,1.0,-0.009011265941995325,-0.005751964488133254,0.0018998100189981002,10,seed,0.004559544045595441
E1 model comparisons,sliced_wasserstein,cardiogb,graph_neural_ode,-0.00017502653811660092,-0.0007320109621754643,-0.05314802726044273,0.6,-0.0021169180452125114,0.0016755179697481274,0.8685131486851315,10,seed,0.8685131486851315
E1 model comparisons,sliced_wasserstein,cardiogb,mechanistic_ode,-0.0450935248152486,-0.04597418695422157,-7.153123675938616,1.0,-0.04872148899818838,-0.04127990368545789,0.0018998100189981002,10,seed,0.004559544045595441
E1 model comparisons,sliced_wasserstein,cardiogb,neural_ode,-0.017304994505164886,-0.007982344366610071,-0.9050527595242172,0.9,-0.02885623594554741,-0.00667367439517486,0.0040995900409959,10,seed,0.005466120054661201
E1 model comparisons,sliced_wasserstein,cardiogb,persistence,-0.005901814015981352,-0.005648440315521213,-1.4675638759713086,0.9,-0.00824339185691706,-0.00354498886744427,0.0040995900409959,10,seed,0.005466120054661201
