transition,t0,t1,mmd,moment_error,sliced_wasserstein,mi_mean,mi_median,protocol,case,seed,horizon_days
0_to_0.5,0.0,0.5,0.0702452212572097,0.017146835103631,0.0206472389400005,0.3416771292686462,0.3319886028766632,e2_interpolation,0.5,20260825,0.5
0_to_0.5,0.0,0.5,0.0655992552638053,0.0158599130809307,0.0215605124831199,0.3481104373931885,0.3393122255802154,e2_interpolation,0.5,20260826,0.5
0_to_0.5,0.0,0.5,0.0672396644949913,0.0163139533251523,0.0148879084736108,0.2636505365371704,0.2552571594715118,e2_interpolation,0.5,20260827,0.5
0_to_0.5,0.0,0.5,0.0690633654594421,0.0167986191809177,0.0158266834914684,0.3978914618492126,0.3888682126998901,e2_interpolation,0.5,20260828,0.5
0_to_0.5,0.0,0.5,0.0666545927524566,0.0160022433847188,0.0197116155177354,0.4018760919570923,0.3929393589496612,e2_interpolation,0.5,20260829,0.5
3_to_14,3.0,14.0,0.2509717345237732,0.0852832049131393,0.0892742425203323,0.3532087206840515,0.3476742506027221,e2_interpolation,14.0,20260825,11.0
3_to_14,3.0,14.0,0.070476159453392,0.0162636134773492,0.0255773998796939,0.4871260523796081,0.4882179498672485,e2_interpolation,14.0,20260826,11.0
3_to_14,3.0,14.0,0.254738301038742,0.0760903656482696,0.0726202055811882,0.3882866501808166,0.3779857158660888,e2_interpolation,14.0,20260827,11.0
3_to_14,3.0,14.0,0.1321017146110534,0.0380346402525901,0.0537933893501758,0.4875913262367248,0.4817964136600494,e2_interpolation,14.0,20260828,11.0
3_to_14,3.0,14.0,0.2544725239276886,0.0787589475512504,0.098263069987297,0.3393926322460174,0.3263147175312042,e2_interpolation,14.0,20260829,11.0
0.5_to_3,0.5,3.0,0.0582919977605342,0.0154407089576125,0.0204978454858064,0.3945146799087524,0.3804302513599396,e2_interpolation,3.0,20260825,2.5
0.5_to_3,0.5,3.0,0.072523295879364,0.0198256056755781,0.0253175552934408,0.3121092617511749,0.2945766150951385,e2_interpolation,3.0,20260826,2.5
0.5_to_3,0.5,3.0,0.0869000628590583,0.0246575903147459,0.0290238913148641,0.3292330205440521,0.3124775886535644,e2_interpolation,3.0,20260827,2.5
0.5_to_3,0.5,3.0,0.0631230324506759,0.0165329296141862,0.015552326105535,0.4162979423999786,0.4006851017475128,e2_interpolation,3.0,20260828,2.5
0.5_to_3,0.5,3.0,0.0759852975606918,0.0210964865982532,0.023709550499916,0.2820225358009338,0.2633446455001831,e2_interpolation,3.0,20260829,2.5
