transition,t0,t1,mmd,moment_error,sliced_wasserstein,mi_mean,mi_median,protocol,case,seed,horizon_days
14_to_28,14.0,28.0,0.6768196821212769,0.125358447432518,0.1467087268829345,0.891287088394165,0.8915435671806335,e3_extrapolation,14.0,20260825,14.0
14_to_28,14.0,28.0,0.667807936668396,0.1255846321582794,0.1712115705013275,0.893513560295105,0.8958410620689392,e3_extrapolation,14.0,20260826,14.0
14_to_28,14.0,28.0,0.6775829195976257,0.1258485019207,0.1743151247501373,0.8963841795921326,0.8969472646713257,e3_extrapolation,14.0,20260827,14.0
14_to_28,14.0,28.0,0.6830441951751709,0.1261657923460006,0.1624622195959091,0.9057297110557556,0.9057919383049012,e3_extrapolation,14.0,20260828,14.0
14_to_28,14.0,28.0,0.6808502674102783,0.1260809600353241,0.1569224894046783,0.9009865522384644,0.900964856147766,e3_extrapolation,14.0,20260829,14.0
3_to_7,3.0,7.0,0.1920301914215088,0.0594285130500793,0.0597447492182254,0.6678537726402283,0.664486289024353,e3_extrapolation,3.0,20260825,4.0
3_to_14,3.0,14.0,0.4012095630168915,0.1075344011187553,0.0784970298409462,0.6587122082710266,0.6645886898040771,e3_extrapolation,3.0,20260825,11.0
3_to_28,3.0,28.0,0.6685916185379028,0.2123318761587143,0.2368351817131042,0.631721019744873,0.6375933885574341,e3_extrapolation,3.0,20260825,25.0
3_to_7,3.0,7.0,0.2368093580007553,0.0733553767204284,0.083617515861988,0.7090310454368591,0.708166241645813,e3_extrapolation,3.0,20260826,4.0
3_to_14,3.0,14.0,0.5738856792449951,0.1527919471263885,0.1546159088611602,0.6899637579917908,0.6879616975784302,e3_extrapolation,3.0,20260826,11.0
3_to_28,3.0,28.0,0.8811399936676025,0.2320814877748489,0.2078670412302017,0.6933661103248596,0.6925763487815857,e3_extrapolation,3.0,20260826,25.0
3_to_7,3.0,7.0,0.2358104586601257,0.0736259147524833,0.0638773217797279,0.7042482495307922,0.703787088394165,e3_extrapolation,3.0,20260827,4.0
3_to_14,3.0,14.0,0.5612897872924805,0.1494189649820327,0.1545258164405822,0.6813345551490784,0.6808466911315918,e3_extrapolation,3.0,20260827,11.0
3_to_28,3.0,28.0,0.8602449893951416,0.2301616221666336,0.2556177377700805,0.6731678247451782,0.6728762984275818,e3_extrapolation,3.0,20260827,25.0
3_to_7,3.0,7.0,0.2326503098011016,0.0730291381478309,0.0595839507877826,0.6993463039398193,0.698587954044342,e3_extrapolation,3.0,20260828,4.0
3_to_14,3.0,14.0,0.5594857931137085,0.1478507965803146,0.1706576198339462,0.685553789138794,0.6853496432304382,e3_extrapolation,3.0,20260828,11.0
3_to_28,3.0,28.0,0.8801474571228027,0.231998860836029,0.3015471696853637,0.6822653412818909,0.681334376335144,e3_extrapolation,3.0,20260828,25.0
3_to_7,3.0,7.0,0.2305848598480224,0.0709331259131431,0.0612185001373291,0.702822208404541,0.7015993595123291,e3_extrapolation,3.0,20260829,4.0
3_to_14,3.0,14.0,0.5459616780281067,0.1473592221736908,0.1422125846147537,0.6804755330085754,0.6799759268760681,e3_extrapolation,3.0,20260829,11.0
3_to_28,3.0,28.0,0.8763515949249268,0.2316258549690246,0.2998560965061188,0.6829510927200317,0.6817267537117004,e3_extrapolation,3.0,20260829,25.0
7_to_14,7.0,14.0,0.2768581807613373,0.091043546795845,0.0944217666983604,0.4280798733234405,0.4158447086811065,e3_extrapolation,7.0,20260825,7.0
7_to_28,7.0,28.0,0.4187427759170532,0.1148061826825141,0.1368387043476104,0.4797792732715606,0.4721931517124176,e3_extrapolation,7.0,20260825,21.0
7_to_14,7.0,14.0,0.7925077676773071,0.3202512860298157,0.3248107135295868,0.535527765750885,0.5345419049263,e3_extrapolation,7.0,20260826,7.0
7_to_28,7.0,28.0,0.8639877438545227,0.2631963193416595,0.2791472673416137,0.5185129046440125,0.5184581279754639,e3_extrapolation,7.0,20260826,21.0
7_to_14,7.0,14.0,0.245569035410881,0.0838137567043304,0.1070306152105331,0.3943403959274292,0.3814061284065246,e3_extrapolation,7.0,20260827,7.0
7_to_28,7.0,28.0,0.4269148409366607,0.1329094767570495,0.1093790009617805,0.4402157366275787,0.4259689152240753,e3_extrapolation,7.0,20260827,21.0
7_to_14,7.0,14.0,0.5233387351036072,0.1921745836734771,0.21387580037117,0.526516318321228,0.520030677318573,e3_extrapolation,7.0,20260828,7.0
7_to_28,7.0,28.0,0.8489927053451538,0.2578044533729553,0.2157860249280929,0.4874988496303558,0.4870205223560333,e3_extrapolation,7.0,20260828,21.0
7_to_14,7.0,14.0,0.7854470014572144,0.3125254809856415,0.2876070141792297,0.5456704497337341,0.5451606512069702,e3_extrapolation,7.0,20260829,7.0
7_to_28,7.0,28.0,0.8767711520195007,0.2632897496223449,0.3356900215148926,0.52530437707901,0.5252777338027954,e3_extrapolation,7.0,20260829,21.0
