case,seed,transition,t0,t1,horizon_days,validation_displacement_scale,maximum_validated_horizon_days,applied_displacement_scale,mmd,moment_error,sliced_wasserstein,raw_mmd,raw_moment_error,raw_sliced_wasserstein,persistence_mmd,persistence_moment_error,persistence_sliced_wasserstein
3.0,20260825,3_to_7,3.0,7.0,4.0,1.0,2.0,0.5,0.10318196564912796,0.03159286081790924,0.03244146332144737,0.1920301914215088,0.059428516775369644,0.05776730552315712,0.04610138013958931,0.014537124894559383,0.0144397197291255
3.0,20260825,3_to_14,3.0,14.0,11.0,1.0,2.0,0.18181818181818182,0.082882359623909,0.022774958983063698,0.02929927408695221,0.4012095034122467,0.10753440111875534,0.1035817489027977,0.057144440710544586,0.016846533864736557,0.022841643542051315
3.0,20260825,3_to_28,3.0,28.0,25.0,1.0,2.0,0.08,0.10384034365415573,0.030513374134898186,0.025831997394561768,0.6685916185379028,0.2123318761587143,0.2179696261882782,0.08195638656616211,0.024463670328259468,0.02722933329641819
3.0,20260826,3_to_7,3.0,7.0,4.0,0.9426010611774985,2.0,0.47130053058874927,0.1152588501572609,0.03494609147310257,0.039212655276060104,0.23680932819843292,0.07335537672042847,0.07501010596752167,0.04610138013958931,0.014537124894559383,0.014323614537715912
3.0,20260826,3_to_14,3.0,14.0,11.0,0.9426010611774985,2.0,0.17138201112318155,0.09328553825616837,0.025120727717876434,0.028786148875951767,0.5738856792449951,0.15279194712638855,0.1488182544708252,0.057144440710544586,0.016846533864736557,0.016624968498945236
3.0,20260826,3_to_28,3.0,28.0,25.0,0.9426010611774985,2.0,0.07540808489419988,0.1035422831773758,0.03041139431297779,0.027447333559393883,0.8811399936676025,0.23208148777484894,0.3290325701236725,0.08195638656616211,0.024463670328259468,0.024392373859882355
3.0,20260827,3_to_7,3.0,7.0,4.0,0.9554270276870579,2.0,0.47771351384352895,0.11649251729249954,0.03549138829112053,0.03922896832227707,0.23581045866012573,0.07362591475248337,0.07443737983703613,0.04610138013958931,0.014537124894559383,0.01629188470542431
3.0,20260827,3_to_14,3.0,14.0,11.0,0.9554270276870579,2.0,0.17371400503401052,0.09282345324754715,0.02503635175526142,0.02725675329566002,0.5612897872924805,0.14941896498203278,0.1627657264471054,0.057144440710544586,0.016846533864736557,0.018924985080957413
3.0,20260827,3_to_28,3.0,28.0,25.0,0.9554270276870579,2.0,0.07643416221496463,0.10381273925304413,0.03049253299832344,0.039919767528772354,0.8602449893951416,0.2301616221666336,0.23926131427288055,0.08195638656616211,0.024463670328259468,0.02623632363975048
3.0,20260828,3_to_7,3.0,7.0,4.0,0.9951850705567654,2.0,0.4975925352783827,0.11962397396564484,0.036605995148420334,0.034194909036159515,0.23265030980110168,0.07302913814783096,0.0687880888581276,0.04610138013958931,0.014537124894559383,0.012252520769834518
