transition,t0,t1,mmd,moment_error,sliced_wasserstein,mi_mean,mi_median,protocol,case,seed,horizon_days
0_to_0.25,0.0,0.25,0.1247368082404136,0.0344968773424625,0.0297353211790323,0.2688097357749939,0.2619338929653168,e4_group_cv,1.0,20260825,0.25
0.25_to_0.5,0.25,0.5,0.0484327971935272,0.0144712496548891,0.0174411069601774,0.4347773790359497,0.4344727694988251,e4_group_cv,1.0,20260825,0.25
0.5_to_1,0.5,1.0,0.0145034920424222,0.0038195406086742,0.0041118725202977,0.4851323366165161,0.4809771478176117,e4_group_cv,1.0,20260825,0.5
1_to_3,1.0,3.0,0.0584319569170475,0.0163085684180259,0.0134029043838381,0.4593941867351532,0.4462141394615173,e4_group_cv,1.0,20260825,2.0
3_to_7,3.0,7.0,0.2128131687641143,0.0682971775531768,0.0539304763078689,0.6345899105072021,0.632499635219574,e4_group_cv,1.0,20260825,4.0
7_to_14,7.0,14.0,0.0666492506861686,0.0158887561410665,0.019409516826272,0.5802333950996399,0.5721982717514038,e4_group_cv,1.0,20260825,7.0
14_to_28,14.0,28.0,0.0547609329223632,0.0093002179637551,0.0130831385031342,0.4896911084651947,0.4813221096992492,e4_group_cv,1.0,20260825,14.0
0_to_0.25,0.0,0.25,0.1251950562000274,0.0345050506293773,0.036445528268814,0.2706053555011749,0.2588466107845306,e4_group_cv,1.0,20260826,0.25
0.25_to_0.5,0.25,0.5,0.0475912131369113,0.0142542673274874,0.0144505407661199,0.4382480084896087,0.4352588057518005,e4_group_cv,1.0,20260826,0.25
0.5_to_1,0.5,1.0,0.014813202433288,0.0038595711812376,0.0051534920930862,0.4887531995773315,0.4801695644855499,e4_group_cv,1.0,20260826,0.5
1_to_3,1.0,3.0,0.0606498159468174,0.0172937344759702,0.0201370529830455,0.4589173197746277,0.4465084373950958,e4_group_cv,1.0,20260826,2.0
3_to_7,3.0,7.0,0.1963226199150085,0.0626012831926345,0.0680238604545593,0.6334124207496643,0.6344832181930542,e4_group_cv,1.0,20260826,4.0
7_to_14,7.0,14.0,0.0608685836195945,0.0148104261606931,0.0187841318547725,0.5750163793563843,0.5726166367530823,e4_group_cv,1.0,20260826,7.0
14_to_28,14.0,28.0,0.0626487955451011,0.0144866863265633,0.0207779128104448,0.4861296713352203,0.4854556322097778,e4_group_cv,1.0,20260826,14.0
0_to_0.25,0.0,0.25,0.1242681592702865,0.0340965911746025,0.0430510714650154,0.2730637788772583,0.2650577425956726,e4_group_cv,1.0,20260827,0.25
0.25_to_0.5,0.25,0.5,0.0509723648428916,0.0153476493433117,0.019696345552802,0.4446999132633209,0.4441113173961639,e4_group_cv,1.0,20260827,0.25
0.5_to_1,0.5,1.0,0.0122462306171655,0.0030925853643566,0.0033907562028616,0.4959209263324737,0.4907275736331939,e4_group_cv,1.0,20260827,0.5
1_to_3,1.0,3.0,0.0585644543170928,0.0168380159884691,0.0178943872451782,0.4590024948120117,0.4448570609092712,e4_group_cv,1.0,20260827,2.0
3_to_7,3.0,7.0,0.2108191549777984,0.0677695572376251,0.0762705653905868,0.6534110307693481,0.6531969904899597,e4_group_cv,1.0,20260827,4.0
7_to_14,7.0,14.0,0.0570195168256759,0.0142631903290748,0.0185223575681448,0.5649479627609253,0.5556108951568604,e4_group_cv,1.0,20260827,7.0
14_to_28,14.0,28.0,0.0404466353356838,0.0068259290419518,0.0127266459167003,0.4820755124092102,0.4736436903476715,e4_group_cv,1.0,20260827,14.0
0_to_0.25,0.0,0.25,0.1229861304163932,0.0338717326521873,0.0444231443107128,0.2604131400585174,0.247718408703804,e4_group_cv,1.0,20260828,0.25
0.25_to_0.5,0.25,0.5,0.0489668473601341,0.0146863963454961,0.0132098523899912,0.4254126250743866,0.422490656375885,e4_group_cv,1.0,20260828,0.25
0.5_to_1,0.5,1.0,0.0136976661160588,0.0035437706392258,0.0046924431808292,0.4794173538684845,0.4705322086811065,e4_group_cv,1.0,20260828,0.5
1_to_3,1.0,3.0,0.0706958025693893,0.0205624252557754,0.0221371073275804,0.4501391351222992,0.4374601542949676,e4_group_cv,1.0,20260828,2.0
3_to_7,3.0,7.0,0.1810146570205688,0.0564631596207618,0.0609221905469894,0.6127919554710388,0.6114988923072815,e4_group_cv,1.0,20260828,4.0
7_to_14,7.0,14.0,0.051772478967905,0.0130119109526276,0.0144871640950441,0.5772736072540283,0.5716384649276733,e4_group_cv,1.0,20260828,7.0
14_to_28,14.0,28.0,0.0383672639727592,0.0079557765275239,0.0109835676848888,0.4658286273479461,0.4653813242912292,e4_group_cv,1.0,20260828,14.0
0_to_0.25,0.0,0.25,0.1239446103572845,0.0339168235659599,0.0437246225774288,0.3024870157241821,0.2959716916084289,e4_group_cv,1.0,20260829,0.25
0.25_to_0.5,0.25,0.5,0.0489943549036979,0.0147038707509636,0.0144882258027791,0.4826615154743194,0.4834940433502197,e4_group_cv,1.0,20260829,0.25
0.5_to_1,0.5,1.0,0.0142961284145712,0.003616837086156,0.0038189576007425,0.531531035900116,0.5283136367797852,e4_group_cv,1.0,20260829,0.5
1_to_3,1.0,3.0,0.0625613257288932,0.0177748836576938,0.017294269055128,0.4992204904556274,0.4874334037303924,e4_group_cv,1.0,20260829,2.0
3_to_7,3.0,7.0,0.2217932939529419,0.0706827193498611,0.0837063938379287,0.6532884836196899,0.6529754996299744,e4_group_cv,1.0,20260829,4.0
7_to_14,7.0,14.0,0.0543508753180503,0.01340888813138,0.0164483562111854,0.5616021752357483,0.5501676201820374,e4_group_cv,1.0,20260829,7.0
14_to_28,14.0,28.0,0.0377526059746742,0.0070425164885818,0.0106708044186234,0.4781775772571563,0.4663883447647095,e4_group_cv,1.0,20260829,14.0
0_to_0.25,0.0,0.25,0.0450454652309417,0.0114476243034005,0.010702115483582,0.2878564894199371,0.2803914248943329,e4_group_cv,2.0,20260825,0.25
0.25_to_0.5,0.25,0.5,0.0269911792129278,0.0078888004645705,0.0093426872044801,0.4419997036457062,0.4392266571521759,e4_group_cv,2.0,20260825,0.25
0.5_to_1,0.5,1.0,0.0230010449886322,0.006713003385812,0.0064836894161999,0.5287227630615234,0.5310343503952026,e4_group_cv,2.0,20260825,0.5
1_to_3,1.0,3.0,0.0247898735105991,0.0060967719182372,0.0065058036707341,0.4930950999259949,0.4807416200637817,e4_group_cv,2.0,20260825,2.0
3_to_7,3.0,7.0,0.1293646544218063,0.0386564619839191,0.0321055427193641,0.6071267127990723,0.601824164390564,e4_group_cv,2.0,20260825,4.0
7_to_14,7.0,14.0,0.0151798762381076,0.0019467751262709,0.0047094346955418,0.6267315149307251,0.6263300180435181,e4_group_cv,2.0,20260825,7.0
14_to_28,14.0,28.0,0.0442131534218788,0.0041216085664927,0.0124047379940748,0.5201025009155273,0.5130425095558167,e4_group_cv,2.0,20260825,14.0
0_to_0.25,0.0,0.25,0.0468009337782859,0.0118542769923806,0.0143124274909496,0.2851285934448242,0.2773347198963165,e4_group_cv,2.0,20260826,0.25
0.25_to_0.5,0.25,0.5,0.0277442410588264,0.0081730652600526,0.0084060095250606,0.4428926408290863,0.4408726692199707,e4_group_cv,2.0,20260826,0.25
0.5_to_1,0.5,1.0,0.019718375056982,0.0056061786599457,0.007035220041871,0.5341752767562866,0.5365493297576904,e4_group_cv,2.0,20260826,0.5
1_to_3,1.0,3.0,0.024602074176073,0.0065642339177429,0.008782953955233,0.5042718648910522,0.4929936826229095,e4_group_cv,2.0,20260826,2.0
3_to_7,3.0,7.0,0.1165567189455032,0.0322085842490196,0.0373047553002834,0.6033567786216736,0.6000540256500244,e4_group_cv,2.0,20260826,4.0
7_to_14,7.0,14.0,0.0138303618878126,0.0017081759870052,0.0045038969255983,0.648540198802948,0.6497927904129028,e4_group_cv,2.0,20260826,7.0
14_to_28,14.0,28.0,0.0303250793367624,0.0022338973358273,0.0088888574391603,0.5112302303314209,0.5043186545372009,e4_group_cv,2.0,20260826,14.0
0_to_0.25,0.0,0.25,0.0461304523050785,0.0116299577057361,0.0156906992197036,0.308633416891098,0.3009879291057586,e4_group_cv,2.0,20260827,0.25
0.25_to_0.5,0.25,0.5,0.0295693539083004,0.0086935237050056,0.0114145372062921,0.469358742237091,0.4674051702022552,e4_group_cv,2.0,20260827,0.25
0.5_to_1,0.5,1.0,0.0238450169563293,0.0068834912963211,0.0063462182879447,0.5576817989349365,0.5591700673103333,e4_group_cv,2.0,20260827,0.5
1_to_3,1.0,3.0,0.0198482163250446,0.00472262641415,0.0060317344032227,0.5112586617469788,0.4995537400245666,e4_group_cv,2.0,20260827,2.0
3_to_7,3.0,7.0,0.1301396489143371,0.0378109104931354,0.0435925275087356,0.5998773574829102,0.5973364114761353,e4_group_cv,2.0,20260827,4.0
7_to_14,7.0,14.0,0.0260619726032018,0.005753424949944,0.0087854294106364,0.5791220664978027,0.5763893723487854,e4_group_cv,2.0,20260827,7.0
14_to_28,14.0,28.0,0.0419895276427269,0.0058562154881656,0.0130969872698187,0.4808797538280487,0.4781067371368408,e4_group_cv,2.0,20260827,14.0
0_to_0.25,0.0,0.25,0.0460452362895011,0.0116773676127195,0.0147144692018628,0.3196380138397217,0.3117886483669281,e4_group_cv,2.0,20260828,0.25
0.25_to_0.5,0.25,0.5,0.0263856649398803,0.0076424567960202,0.007044909056276,0.481323629617691,0.4792917668819427,e4_group_cv,2.0,20260828,0.25
0.5_to_1,0.5,1.0,0.0288466550409793,0.0084737315773963,0.0097429454326629,0.5721306204795837,0.5747412443161011,e4_group_cv,2.0,20260828,0.5
1_to_3,1.0,3.0,0.0249758884310722,0.0064025013707578,0.0084558874368667,0.5493800640106201,0.5360124707221985,e4_group_cv,2.0,20260828,2.0
3_to_7,3.0,7.0,0.1507768481969833,0.0460550971329212,0.0493403375148773,0.6363685131072998,0.6326131820678711,e4_group_cv,2.0,20260828,4.0
7_to_14,7.0,14.0,0.0327924191951751,0.0074975513853132,0.0101375579833984,0.5602476596832275,0.5554823279380798,e4_group_cv,2.0,20260828,7.0
14_to_28,14.0,28.0,0.0397962443530559,0.0048272791318595,0.0104122459888458,0.481300413608551,0.4831646680831909,e4_group_cv,2.0,20260828,14.0
0_to_0.25,0.0,0.25,0.0471775904297828,0.0119136441498994,0.0144453104585409,0.3302472829818725,0.3227202892303467,e4_group_cv,2.0,20260829,0.25
0.25_to_0.5,0.25,0.5,0.0281977429986,0.0082844384014606,0.0082257706671953,0.4939174950122833,0.4925638139247894,e4_group_cv,2.0,20260829,0.25
0.5_to_1,0.5,1.0,0.0208190809935331,0.0059136040508747,0.0066969222389161,0.5801242589950562,0.584228515625,e4_group_cv,2.0,20260829,0.5
1_to_3,1.0,3.0,0.0242511108517646,0.0064827217720448,0.0079799853265285,0.5482985973358154,0.5383462905883789,e4_group_cv,2.0,20260829,2.0
3_to_7,3.0,7.0,0.1322830021381378,0.0366536267101764,0.045630544424057,0.635525107383728,0.6331924796104431,e4_group_cv,2.0,20260829,4.0
7_to_14,7.0,14.0,0.0150133278220891,0.0020620399154722,0.0040991650894284,0.6162914633750916,0.6161314845085144,e4_group_cv,2.0,20260829,7.0
14_to_28,14.0,28.0,0.0412154793739318,0.0037113847211003,0.0125556448474526,0.501430332660675,0.491349995136261,e4_group_cv,2.0,20260829,14.0
0_to_0.25,0.0,0.25,0.0906102806329727,0.0248191095888614,0.0210370123386383,0.2727404534816742,0.2615903317928314,e4_group_cv,3.0,20260825,0.25
0.25_to_0.5,0.25,0.5,0.057895790785551,0.017880979925394,0.0235632099211215,0.4292179644107818,0.4260633587837219,e4_group_cv,3.0,20260825,0.25
